"id";"cand_id";"funds";"state_code";"year"
752;12;0.0;"OK";1988
753;13;18750.0;"OK";1984
754;14;128890.0;"OK";1984
755;14;186607.0;"OK";1980
756;15;115155.0;"OK";1980
757;2;22668231.41;"TX";2016
758;1;14024707.83;"TX";2016
759;4;46154012.6;"TX";2012
760;4;41515755.64;"TX";2008
761;3;38084105.71;"TX";2012
762;5;18772031.33;"TX";2008
763;7;5127958.29;"TX";2004
764;6;24620020.46;"TX";2004
765;8;2752217.0;"TX";2000
766;6;1580784.0;"TX";2000
767;10;1256439.0;"TX";1996
768;9;1414161.0;"TX";1996
769;10;978442.0;"TX";1992
770;11;5325898.0;"TX";1992
771;11;2289512.0;"TX";1988
772;12;218700.0;"TX";1988
773;13;620575.0;"TX";1984
774;14;902087.0;"TX";1984
775;14;802661.0;"TX";1980
776;15;629590.0;"TX";1980
777;2;540704.15;"MT";2016
778;1;407546.16;"MT";2016
779;4;2233155.68;"MT";2008
780;4;2107601.04;"MT";2012
781;3;1149684.0;"MT";2012
782;5;389104.5;"MT";2008
783;7;162778.04;"MT";2004
784;6;429191.9;"MT";2004
785;8;21640.0;"MT";2000
786;6;15900.0;"MT";2000
787;10;20250.0;"MT";1996
788;9;19292.0;"MT";1996
789;10;6950.0;"MT";1992
790;11;43794.0;"MT";1992
791;11;1000.0;"MT";1988
792;13;5500.0;"MT";1984
793;14;10500.0;"MT";1984
794;14;13425.0;"MT";1980
795;15;5557.0;"MT";1980
796;2;446300.42;"WY";2016
797;1;393090.95;"WY";2016
798;4;1501029.08;"WY";2008
799;4;1448297.48;"WY";2012
800;3;1451537.7;"WY";2012
801;5;468844.0;"WY";2008
802;7;255881.0;"WY";2004
803;6;557612.0;"WY";2004
804;8;48765.0;"WY";2000
805;6;23850.0;"WY";2000
806;10;12100.0;"WY";1996
807;9;14090.0;"WY";1996
808;10;6000.0;"WY";1992
809;11;21500.0;"WY";1992
810;11;8250.0;"WY";1988
811;13;3250.0;"WY";1984
812;14;19850.0;"WY";1984
813;14;29175.0;"WY";1980
814;15;9475.0;"WY";1980
815;2;8528177.48;"CO";2016
816;1;2284396.54;"CO";2016
817;4;22287793.88;"CO";2008
818;4;20934713.48;"CO";2012
819;3;9076978.27;"CO";2012
820;5;3913231.42;"CO";2008
821;7;2903150.77;"CO";2004
822;6;2815396.73;"CO";2004
823;8;934611.0;"CO";2000
824;6;117300.0;"CO";2000
825;10;399875.0;"CO";1996
826;9;300210.0;"CO";1996
827;10;93460.0;"CO";1992
828;11;452610.0;"CO";1992
829;11;380315.0;"CO";1988
830;12;5000.0;"CO";1988
831;13;16200.0;"CO";1984
832;14;87550.0;"CO";1984
833;14;80275.0;"CO";1980
834;15;61286.0;"CO";1980
835;2;2558299.87;"NM";2016
836;1;703134.87;"NM";2016
837;4;8142417.5;"NM";2008
838;4;7085245.24;"NM";2012
839;3;1835225.6;"NM";2012
840;5;1024488.3;"NM";2008
841;7;1263900.82;"NM";2004
842;6;935226.83;"NM";2004
843;8;235470.0;"NM";2000
844;6;25910.0;"NM";2000
845;10;124300.0;"NM";1996
846;9;35950.0;"NM";1996
847;10;74740.0;"NM";1992
848;11;160150.0;"NM";1992
849;11;95000.0;"NM";1988
850;13;39125.0;"NM";1984
851;14;28500.0;"NM";1984
852;14;40250.0;"NM";1980
853;15;97920.0;"NM";1980
854;2;584682.7;"ID";2016
855;1;493399.27;"ID";2016
856;4;1836845.28;"ID";2012
857;4;1771111.32;"ID";2008
858;3;2516127.8;"ID";2012
859;5;459811.5;"ID";2008
860;7;362201.4;"ID";2004
861;6;375074.0;"ID";2004
862;8;66851.0;"ID";2000
863;6;21565.0;"ID";2000
864;10;11350.0;"ID";1996
865;9;112450.0;"ID";1996
866;10;4350.0;"ID";1992
867;11;48805.0;"ID";1992
